iter	Passed	Remaining
403	7257	10706
404	7273	10685
405	7288	10664
406	7306	10645
407	7323	10626
408	7339	10605
409	7354	10583
410	7371	10564
411	7389	10546
412	7404	10523
413	7420	10503
414	7437	10483
415	7454	10465
416	7471	10445
417	7487	10425
418	7507	10409
419	7522	10387
420	7536	10365
421	7550	10341
422	7570	10326
423	7585	10305
424	7600	10283
425	7617	10264
426	7635	10245
427	7657	10233
428	7680	10222
429	7697	10203
430	7715	10185
431	7729	10162
432	7751	10149
433	7768	10131
434	7786	10114
435	7805	10097
436	7823	10079
437	7838	10057
438	7855	10037
439	7869	10015
440	7885	9995
441	7901	9974
442	7918	9955
443	7934	9936
444	7950	9916
445	7967	9896
446	7984	9877
447	8001	9858
448	8019	9841
449	8036	9822
450	8054	9804
451	8070	9784
452	8085	9763
453	8102	9744
454	8119	9725
455	8136	9706
456	8152	9686
457	8167	9665
458	8182	9644
459	8197	9623
460	8214	9604
461	8232	9587
462	8249	9568
463	8267	9550
464	8289	9536
465	8305	9516
466	8322	9498
467	8341	9482
468	8360	9465
469	8378	9447
470	8396	9430
471	8426	9425
472	8446	9410
473	8465	9394
474	8479	9372
475	8493	9349
476	8503	9323
477	8519	9303
478	8540	9289
479	8560	9273
480	8578	9255
481	8595	9237
482	8610	9216
483	8626	9197
484	8645	9180
485	8662	9161
486	8679	9142
487	8697	9125
488	8713	9105
489	8731	9088
490	8748	9069
491	8765	9050
492	8781	9031
493	8798	9012
494	8817	8995
495	8834	8976
496	8849	8956
497	8866	8937
498	8882	8918
499	8897	8897
500	8913	8878
501	8931	8860
502	8947	8840
503	8963	8821
504	8977	8799
505	8996	8782
506	9014	8765
507	9044	8759
508	9060	8740
509	9077	8721
510	9091	8700
511	9106	8680
512	9123	8660
513	9141	8643
514	9158	8625
515	9173	8604
516	9193	8588
517	9212	8571
518	9228	8553
519	9248	8536
520	9266	8519
521	9286	8503
522	9301	8483
523	9316	8463
524	9333	8444
525	9348	8424
526	9363	8404
527	9382	8387
528	9399	8368
529	9415	8349
530	9432	8331
531	9448	8311
532	9464	8292
533	9482	8274
534	9497	8254
535	9514	8236
536	9531	8217
537	9549	8200
538	9566	8181
539	9581	8161
540	9597	8142
541	9614	8124
542	9629	8103
543	9639	8080
544	9651	8057
545	9666	8037
546	9685	8020
547	9704	8004
548	9723	7987
549	9738	7967
550	9754	7949
551	9772	7931
552	9789	7913
553	9804	7893
554	9821	7875
555	9838	7856
556	9854	7837
557	9869	7817
558	9884	7797
559	9903	7781
560	9917	7760
561	9932	7740
562	9952	7724
563	9968	7706
564	9985	7688
565	10005	7672
566	10025	7655
567	10047	7641
568	10062	7621
569	10079	7603
570	10099	7587
571	10112	7566
572	10124	7544
573	10137	7523
574	10151	7503
575	10162	7480
576	10174	7458
577	10186	7437
578	10199	7416
579	10213	7395
580	10225	7374
581	10239	7354
582	10251	7332
583	10265	7312
584	10278	7291
585	10289	7269
586	10301	7248
587	10314	7227
588	10326	7205
589	10337	7183
590	10351	7163
591	10365	7144
592	10378	7123
593	10391	7102
594	10402	7080
595	10415	7060
596	10427	7038
597	10438	7017
598	10449	6995
599	10463	6975
600	10477	6956
601	10489	6934
602	10502	6914
603	10515	6894
604	10527	6873
605	10541	6853
606	10552	6832
607	10565	6812
608	10581	6793
